iter	Passed	Remaining
702	5309	2242
703	5315	2235
704	5322	2226
705	5328	2218
706	5334	2210
707	5341	2202
708	5347	2194
709	5353	2186
710	5359	2178
711	5365	2170
712	5372	2162
713	5378	2154
714	5384	2146
715	5391	2138
716	5398	2130
717	5404	2122
718	5411	2114
719	5418	2107
720	5424	2099
721	5431	2091
722	5437	2083
723	5443	2075
724	5450	2067
725	5456	2059
726	5461	2051
727	5467	2042
728	5473	2034
729	5480	2026
730	5486	2019
731	5492	2010
732	5498	2002
733	5504	1994
734	5510	1986
735	5516	1978
736	5522	1970
737	5530	1963
738	5536	1955
739	5543	1947
740	5549	1939
741	5555	1931
742	5561	1923
743	5567	1915
744	5573	1907
745	5579	1899
746	5586	1891
747	5592	1883
748	5597	1875
749	5604	1868
750	5610	1860
751	5616	1852
752	5622	1844
753	5628	1836
754	5635	1828
755	5641	1820
756	5647	1812
757	5653	1804
758	5659	1797
759	5667	1789
760	5673	1781
761	5681	1774
762	5687	1766
763	5693	1758
764	5699	1750
765	5705	1743
766	5712	1735
767	5718	1727
768	5724	1719
769	5731	1711
770	5737	1704
771	5743	1696
772	5750	1688
773	5756	1680
774	5762	1672
775	5768	1665
776	5775	1657
777	5781	1649
778	5787	1642
779	5794	1634
780	5800	1626
781	5806	1618
782	5812	1610
783	5818	1603
784	5824	1595
785	5830	1587
786	5837	1579
787	5843	1572
788	5849	1564
789	5856	1556
790	5862	1548
791	5868	1541
792	5874	1533
793	5880	1525
794	5887	1518
795	5893	1510
796	5900	1502
797	5906	1495
798	5912	1487
799	5919	1479
800	5925	1472
801	5932	1464
802	5938	1456
803	5945	1449
804	5951	1441
805	5957	1433
806	5963	1426
807	5970	1418
808	5976	1411
809	5983	1403
810	5989	1395
811	5995	1388
812	6002	1380
813	6010	1373
814	6017	1365
815	6023	1358
816	6029	1350
817	6035	1342
818	6043	1335
819	6050	1328
820	6056	1320
821	6062	1312
822	6068	1305
823	6074	1297
824	6081	1289
825	6087	1282
826	6093	1274
827	6099	1267
828	6106	1259
829	6112	1251
830	6118	1244
831	6124	1236
832	6130	1229
833	6137	1221
834	6143	1213
835	6149	1206
836	6155	1198
837	6161	1191
838	6169	1183
839	6177	1176
840	6183	1169
841	6189	1161
842	6196	1153
843	6202	1146
844	6208	1138
845	6214	1131
846	6220	1123
847	6227	1116
848	6233	1108
849	6239	1101
850	6245	1093
851	6251	1085
852	6257	1078
853	6264	1070
854	6271	1063
855	6280	1056
856	6289	1049
857	6298	1042
858	6307	1035
859	6316	1028
860	6326	1021
861	6341	1015
862	6350	1008
863	6359	1001
864	6368	993
865	6376	986
866	6385	979
867	6393	972
868	6404	965
869	6413	958
870	6423	951
871	6432	944
872	6442	937
873	6450	929
874	6458	922
875	6466	915
876	6473	907
877	6481	900
878	6489	893
879	6497	885
880	6504	878
881	6512	871
882	6520	864
883	6528	856
884	6535	849
885	6543	841
886	6550	834
887	6557	827
888	6565	819
889	6571	812
890	6578	804
891	6584	797
892	6590	789
893	6596	782
894	6602	774
895	6609	767
896	6615	759
897	6622	752
898	6628	744
899	6635	737
900	6642	729
901	6648	722
902	6654	714
903	6661	707
904	6667	699
905	6673	692
906	6680	684
907	6686	677
908	6692	669
909	6698	662
910	6705	655
911	6712	647
912	6718	640
913	6724	632
914	6731	625
915	6737	617
916	6743	610
917	6749	602
918	6755	595
919	6761	587
920	6767	580
921	6773	573
922	6780	565
923	6786	558
924	6792	550
925	6799	543
926	6805	535
927	6811	528
928	6817	521
929	6823	513
930	6829	506
931	6835	498
932	6841	491
933	6848	483
934	6854	476
935	6860	469
936	6866	461
937	6872	454
938	6878	446
939	6884	439
940	6890	432
941	6897	424
942	6903	417
943	6909	409
944	6915	402
945	6922	395
946	6928	387
947	6934	380
948	6940	373
949	6947	365
950	6953	358
951	6959	350
952	6965	343
953	6971	336
954	6977	328
955	6983	321
956	6989	314
957	6995	306
958	7001	299
959	7007	291
960	7013	284
961	7020	277
962	7026	269
963	7032	262
964	7038	255
965	7044	247
966	7051	240
967	7057	233
968	7063	225
